COUNTY,GEO_ID,NAME,DISTRICT,PRECINCT_CODE,PRECINCT_NAME,ACTIVE_VOTER_COUNT,CHURCH,POLLING_PLACE,ADDRESS
MADISON,0600000US2808992623,"District 4, Madison County, Mississippi",4,415,MT. HOPE M.B. CHURCH,479,TRUE,MT. HOPE CHURCH,201 PATRICK RD CANTON MS 39046
MADISON,0600000US2808992624,"District 4, Madison County, Mississippi",4,416,CANTON ANDERSON LODGE,1534,FALSE,ANDERSON LODGE,389 RICKS DR CANTON MS 39046
MADISON,0600000US2808992625,"District 4, Madison County, Mississippi",4,417,CANTON FIRE STATION #4,764,FALSE,CANTON FIRE STATION #4,CANTON FIRE STATION #4 188 WATFORD PARKWAY DRIVE CANTON MS 39046
MADISON,0600000US2808992626,"District 4, Madison County, Mississippi",4,418,MAD.CO.BAPTIST FAMILY LIFE CT,1164,TRUE,MADISON COUNTY BAPTIST FAMILY LIFE CENTER,349 N CANAL ST CANTON MS 39046
MADISON,0600000US2808992627,"District 4, Madison County, Mississippi",4,419,CANTON NATIONAL GUARD ARMORY,837,FALSE,NATIONAL GUARD ARMORY,2924 HWY 51 S CANTON MS 39046
MADISON,0600000US2808993357,"District 5, Madison County, Mississippi",5,517,CAMDEN COMMUNITY CENTER,1126,FALSE,CAMDEN COMMUNITY CENTER,CAMDEN COMMUNITY CENTER 122 PARKSIDE AVENUE CAMDEN MS 39045
MADISON,0600000US2808993358,"District 5, Madison County, Mississippi",5,518,CAMERON BETHEL M.B. CHURCH,159,TRUE,BETHEL M.B. CHURCH,957 OLD HIGHWAY 51 PICKENS MS 39146
MADISON,0600000US2808993359,"District 5, Madison County, Mississippi",5,519,COUPARLE UNITED METHODIST CHURCH,64,TRUE,COUPARLE UNITED METHODIST CHURCH,COUPARLE UNITED METHODIST CHURCH 1901 ROCKY HILL RD CAMDEN MS 39045
MADISON,0600000US2808993360,"District 5, Madison County, Mississippi",5,520,PLEASANT GREEN M.B. CHURCH,815,TRUE,PLEASANT GREEN M B CHURCH,3920 HIGHWAY 43 CANTON MS 39046
MADISON,0600000US2808993361,"District 5, Madison County, Mississippi",5,521,JIMMIE M. GOODLOE ELEM SCHOOL,1825,FALSE,JIMMIE M. GOODLOE ELEM SCHOOL,551 FINNEY RD CANTON MS 39046
MADISON,0600000US2808993362,"District 5, Madison County, Mississippi",5,522,CANTON COMMUNITY CENTER,2085,FALSE,CANTON COMMUNITY CENTER,CANTON COMMUNITY CENTER 337 N UNION ST CANTON MS 39046
MADISON,0600000US2808993363,"District 5, Madison County, Mississippi",5,523,FARMHAVEN FIRE STATION**,1072,FALSE,FARMHAVEN FIRE STATION,3806 HWY 16 E CANTON MS 39046
MADISON,0600000US2808993364,"District 5, Madison County, Mississippi",5,524,CANTON BIBLE CHURCH,628,TRUE,CANTON BIBLE CHURCH,CANTON BIBLE CHURCH 815 MARTIN LUTHER KING DR CANTON MS 39046
MADISON,0600000US2808993365,"District 5, Madison County, Mississippi",5,525,CEDAR GROVE BAPTIST CHURCH,190,TRUE,CEDAR GROVE BAPTIST,998 HIGHWAY 43 SOUTH CANTON MS 39046
MADISON,0600000US2808993366,"District 5, Madison County, Mississippi",5,526,PLEASANT GIFT BAPTIST CHURCH,1066,TRUE,PLEASANT GIFT BAPTIST CHURCH,2055 PLEASANT GIFT RD CANTON MS 39046
MADISON,0600000US2808993367,"District 5, Madison County, Mississippi",5,527,CANTON SOUTH LIBERTY BAPTIST CHURCH,1965,TRUE,SOUTH LIBERTY BAPTIST CHURCH,SOUTH LIBERTY BAPTIST CHURCH 165 E DINKIN ST CANTON MS 39046
MADISON,0600000US2808993368,"District 5, Madison County, Mississippi",5,528,FAIRVIEW MB CHURCH,4096,TRUE,FAIRVIEW MB CHURCH,1278 NORTH OLD CANTON RD CANTON MS 39046
MADISON,0600000US2808993369,"District 5, Madison County, Mississippi",5,529,DEERFIELD GOLF CLUB,1069,FALSE,DEERFIELD GOLF CLUB,264 DEERFIELD CLUB DRIVE CANTON MS 39046
MARION,0600000US2809190414,"District 1, Marion County, Mississippi",1,101,NATIONAL GUARD,1599,FALSE,COMMUNITY ROOM,182 PARNERSHIP WAY COLUMBIA MS 39429
MARION,0600000US2809190415,"District 1, Marion County, Mississippi",1,102,MORRIS,1679,FALSE,MORRIS (IMPROVE ACTIVITIES BLDG),3471 HWY 44 COLUMBIA MS 39429
MARION,0600000US2809190416,"District 1, Marion County, Mississippi",1,104,UNION,340,TRUE,BAYLIS CHAPEL UNITED METHODIST CHURCH,13 E BAYLIS CHAPEL RD COLUMBIA MS 39429
MARION,0600000US2809191152,"District 2, Marion County, Mississippi",2,201,POPETOWN,1113,FALSE,POPETOWN,150 INDUSTRIAL PARK RD COLUMBIA MS 39429
MARION,0600000US2809191153,"District 2, Marion County, Mississippi",2,202,CARLEY,927,FALSE,CARLEY LODGE,77 BUNKER HILL RD COLUMBIA MS 39429
MARION,0600000US2809191154,"District 2, Marion County, Mississippi",2,203,CEDAR GROVE,612,TRUE,CEDAR GROVE BAPTIST CHURCH,44 CEDAR GROVE RD COLUMBIA MS 39429
MARION,0600000US2809191155,"District 2, Marion County, Mississippi",2,204,GOSS,520,TRUE,GOSS BAPTIST CHURCH,20 MARK MCARTHUR DR COLUMBIA MS 39429
MARION,0600000US2809191890,"District 3, Marion County, Mississippi",3,301,FOXWORTH,1195,FALSE,FOXWORTH,2191 HIGHWAY 586 FOXWORTH MS 39483
MARION,0600000US2809191891,"District 3, Marion County, Mississippi",3,302,MORGANTOWN,572,FALSE,MORGANTOWN FIRE DEPARTMENT,1464 HWY 587 FOXWORTH MS 39483
MARION,0600000US2809191892,"District 3, Marion County, Mississippi",3,303,LITTLE ROCK,608,FALSE,LITTLE ROCK,1078 HWY 586 FOXWORTH MS 39483
MARION,0600000US2809191893,"District 3, Marion County, Mississippi",3,304,CITY HALL,389,FALSE,CITY HALL,201 SECOND ST COLUMBIA MS 39429
MARION,0600000US2809191894,"District 3, Marion County, Mississippi",3,306,DARBUN,320,FALSE,DARBUN,281 HIGHWAY 586 KOKOMO MS 39643
MARION,0600000US2809192628,"District 4, Marion County, Mississippi",4,401,CIVIL DEFENSE,680,FALSE,MARION COUNTY CIVIL DEFENSE DEPARTMENT,502 COURTHOUSE SQUARE COLUMBIA MS 39429
MARION,0600000US2809192629,"District 4, Marion County, Mississippi",4,402,BALLS MILL,705,FALSE,BALLS MILL,883 OLD HWY 35 SOUTH FOXWORTH MS 39483
MARION,0600000US2809192630,"District 4, Marion County, Mississippi",4,403,KOKOMO,736,FALSE,KOKOMO-SOUTH WEST FIRE DEPT. STATION 2,700 BRANTON BAY RD FOXWORTH MS 39483
MARION,0600000US2809192631,"District 4, Marion County, Mississippi",4,404,PITTMAN,616,FALSE,PITTMAN-SOUTH WEST FIRE DEPT. STATION 1,478 NEW HOPE CHURCH RD FOXWORTH MS 39483
MARION,0600000US2809192632,"District 4, Marion County, Mississippi",4,405,SANDY HOOK,458,FALSE,SANDY HOOK-SOUTH WEST FIRE DEPT. STATION 4,61 HART RD SANDY HOOK MS 39478
MARION,0600000US2809193366,"District 5, Marion County, Mississippi",5,501,SOUTH COLUMBIA,251,FALSE,DUCKWORTH BUILDING,211 ARKANSAS AVE COLUMBIA MS 39429
MARION,0600000US2809193367,"District 5, Marion County, Mississippi",5,502,"MARTIN LUTHER KING, JR.",264,FALSE,OWENS CHAPEL FELLOWSHIP HALL,1223 MARTIN LUTHER KING JR. DRIVE COLUMBIA MS 39429
MARION,0600000US2809193368,"District 5, Marion County, Mississippi",5,503,EAST COLUMBIA,1363,FALSE,EAST COLUMBIA,1060 HWY 13 SOUTH COLUMBIA MS 39429
MARION,0600000US2809193369,"District 5, Marion County, Mississippi",5,504,HUB,566,FALSE,OLD HUB SCHOOL,431 OLD HWY 13 SOUTH COLUMBIA MS 39429
MARION,0600000US2809193370,"District 5, Marion County, Mississippi",5,505,PINE BURR,576,TRUE,PINE BURR CHURCH OF THE LORD JESUS CHRIST,734 PINE BURR RD COLUMBIA MS 39429
MARSHALL,0600000US2809390423,"District 1, Marshall County, Mississippi",1,1NHS,1 NORTH HOLLY SPRINGS,1970,FALSE,HS MULTIPURPOSE BLDG,235 N MEMPHIS ST HOLLY SPRING MS 38635
MARSHALL,0600000US2809390424,"District 1, Marshall County, Mississippi",1,1RBK,1 RED BANKS,1533,TRUE,RED BANKS METHODIST CHURCH,405 YARBROUGH LOOP RED BANKS MS 38661
