COUNTY,COUNTY_NAME,CTY_GEO_ID,SUBCOUNTY_NAME,SUBCTY_GEO_ID,DISTRICT,PRECINCT_CODE,PRECINCT_NAME,ACTIVE_VOTER_COUNT,CHURCH,POLLING_PLACE,Address
ATTALA,"Attala County, Mississippi",0500000US28007,"District 5, Attala County, Mississippi",0600000US2800792988,5,53,THOMPSON,163,True,HARMONY CHURCH,12012 ATTALA ROAD 5210 MCCOOL MS 39108
ATTALA,"Attala County, Mississippi",0500000US28007,"District 5, Attala County, Mississippi",0600000US2800792988,5,54,ETHEL,415,False,ETHEL FIRE STATION,2089 MAIN STREET ETHEL MS 39067
BENTON,"Benton County, Mississippi",0500000US28009,"District 3, Benton County, Mississippi",0600000US2800991521,3,2AS3,ASHLAND PRECINCT DISTRICT 3,1165,False,ASHLAND VOLUNTEER FIRE DEPT,60 4TH STREET ASHLAND MS 38603
BENTON,"Benton County, Mississippi",0500000US28009,"District 1, Benton County, Mississippi",0600000US2800990045,1,2CA1,CANAAN PRECINCT DISTRICT 1,1280,False,NORTHEAST BENTON FIRE DEPT,16220 HWY 72 ASHLAND MS 38603
BENTON,"Benton County, Mississippi",0500000US28009,"District 4, Benton County, Mississippi",0600000US2800992259,4,2FL4,FLOYD PRECINCT DIST 4,1076,False,ABELS STORE FIRE STATION,60 OLD HIGHWAY 4 & 5 JUNCTION
BENTON,"Benton County, Mississippi",0500000US28009,"District 5, Benton County, Mississippi",0600000US2800992997,5,2HF5,HICKORY FLAT PRICE DIST 5,1274,False,PRECINCT 2HF5,225 SPRUCE STREET HICKORY FLAT MS 38603
BENTON,"Benton County, Mississippi",0500000US28009,"District 2, Benton County, Mississippi",0600000US2800990783,2,2LM2,LAMAR PRECINCT DISTRICT 2,1234,False,NORTH BENTON FIRE STATION LAMAR,3591 HWY 7 LAMAR MS 38642
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,BL,BEULAH,249,False,BEULAH,BEULAH TOWN HALL 10 FRONT ST. BEULAH MS 38726
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,BN,BENOIT,395,False,BENOIT PRECINCT,BENOIT LIBRARY 109 W. PRESTON ST. BENOIT MS 38725
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,BY,BOYLE,1164,False,BOYLE,BOYLE CITY HALL- 105 TIM JONES BOYLE MS 38730
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,CCH,BOLIVAR COUNTY ANNEX,373,False,BOLIVAR COUNTY ANNEX,201 SOUTH COURT ST CLEVELAND MS 38732
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,CTW,CHOCTAW,235,True,CHOCTAW,MOUNT ZION FELLOWSHIP HALL 3149 HWY 450 CHOCTAW MS 38773
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,D3RB,DISTRICT 3 ROAD BARN,658,False,DISTRICT 3 ROAD BARN,1717 SOUTH BROADWAY ST. SHELBY MS 38774
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,DA,DUNCAN-ALLIGATOR,330,False,DUNCAN-ALLIGATOR,DUNCAN CITY HALL- 116 WEST PARK SOUTH DUNCAN MS 38740
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,ECC,EAST CENTRAL CLEVELAND,1316,True,EAST CENTRAL CLEVELAND,OLD ST. PHILLIP CHURCH- 902 ALOE AVE CLEVELAND MS 38732
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,EG,EASTGATE,619,False,EASTGATE,REDEVELOPMENT CENTER 1100 CROSS ST CLEVELAND MS 38732
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,ER,EAST ROSEDALE,1079,False,EAST ROSEDALE,ROSEWOOD APARTMENTS- 1106 PEAVINE ROAD ROSEDALE MS 38769
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,EC,EAST CLEVELAND,748,True,EAST CLEVELAND,UNITED LIFE CENTER- 101 MARTIN LUTHER KING DRIVE CLEVLEAND MS 38732
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,GN,GUNNISON,394,False,GUNNISON,GUNNISON TOWN HALL 404 MAIN ST. GUNNISON MS 38746
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,LS,LONGSHOT,99,False,LONGSHOT,STAND ALONE BUILDING- 586 LONGSHOT LITTON SHAW MS 38773
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,MB,MOUND BAYOU,1368,False,MOUND BAYOU,MUNICIPAL FIRE STATION- 108 DAVIS AVE MOUND BAYOU MS 38762
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,MCC,MORRISON CHAPEL CHURCH,266,True,MORRISON CHAPEL CHURCH,196 MORRISON CHAPEL RD CLEVELAND MS 38732
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,MG,MERIGOLD,386,False,MERIGOLD,MERIGOLD STORM SHELTER - 100 LEE ST MERIGOLD MS 38759
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,NC,NORTH CLEVELAND,771,False,NORTH CLEVELAND,CLEVELAND SCHOOL ADMINISTRATIVE BUILDING- 305 MERRITT DR CLEVELAND MS 38732
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,NW,NORTH WEST CLEVELAND,1215,True,CLEVELAND CHURCH OF CHRIST,212 RONALDMAN ROAD CLEVELAND MS 38732
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,PC,PACE,349,False,PACE,PACE TOWN HALL- 333 JANNIE WASHINGTON ST PACE MS 38764
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,RN,RENOVA,301,False,RENOVA,RENOVA TOWN HALL 1339 OLD HWY 61 RENOVA MS 38732
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,SB,SHELBY,628,False,DR. ROBERT T. HOLLINGSWORTH PUBLIC LIBRARY,"211 THIRD ST. SHELBY, MS 38774"
